algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
lantern,"Lantern(m=16, ef_construction=200, ef_search=10)",10,0.426,0.5783,0.9991,0.09662433562391076,144.12009274696283,7.177585735917091,7.177585735917091,7.177585735917091,7.177585735917091,0.0,10883.599609136581,10.0,4006592.0,27800.370674438345,gist-960-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=400)",10,0.9681,0.999,1.0,0.09454228436972963,22.195129146683445,46.03150486946106,46.03150486946106,46.03150486946106,46.03150486946106,0.0,10883.599609136581,10.0,4006592.0,180516.72389564328,gist-960-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=10)",10,0.47619999999999996,0.6441,0.9987,0.09627137150031254,128.5118905327178,7.907549850642681,7.907549850642681,7.907549850642681,7.907549850642681,0.0,12493.92652797699,10.0,4250896.0,33077.84192092143,gist-960-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=80)",10,0.8641,0.9795999999999999,0.9999,0.09474693766493393,54.72973378537252,21.927988156676292,21.927988156676292,21.927988156676292,21.927988156676292,0.0,12493.92652797699,10.0,4250896.0,77670.68659004015,gist-960-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=120)",10,0.9099,0.9917999999999999,1.0,0.09463311195086976,42.871838225388636,23.68214726448059,23.68214726448059,23.68214726448059,23.68214726448059,0.0,12493.92652797699,10.0,4250896.0,99153.57437327299,gist-960-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=120)",10,0.8771000000000001,0.9831,0.9991,0.09480471979894445,53.07440502387071,18.841473385691643,18.841473385691643,18.841473385691643,18.841473385691643,0.0,10883.599609136581,10.0,4006592.0,75490.09731146299,gist-960-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=20)",10,0.5548,0.7485999999999999,0.9991,0.09589091060551508,119.97281614171044,8.33522155880928,8.33522155880928,8.33522155880928,8.33522155880928,0.0,10883.599609136581,10.0,4006592.0,33395.83189634777,gist-960-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=20)",10,0.618,0.8160000000000001,0.999,0.09557723463336744,104.50630206560464,9.695742279291153,9.695742279291153,9.695742279291153,9.695742279291153,0.0,12493.92652797699,10.0,4250896.0,40675.9775820167,gist-960-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=80)",10,0.82,0.9617000000000001,0.9991,0.09498023411346407,66.11208000513918,15.167457982897758,15.167457982897758,15.167457982897758,15.167457982897758,0.0,10883.599609136581,10.0,4006592.0,60603.024434998115,gist-960-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=200)",10,0.9260999999999999,0.9946999999999999,1.0,0.09463623459094905,37.43737782689913,27.43556536734104,27.43556536734104,27.43556536734104,27.43556536734104,0.0,10883.599609136581,10.0,4006592.0,107021.17062058827,gist-960-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=40)",10,0.7026,0.8901,0.9991,0.09530697533871563,93.4661740371332,10.831872932612896,10.831872932612896,10.831872932612896,10.831872932612896,0.0,10883.599609136581,10.0,4006592.0,42866.75945896983,gist-960-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=40)",10,0.7563,0.9281,0.999,0.09511709357217076,80.03417138913356,13.043368235230446,13.043368235230446,13.043368235230446,13.043368235230446,0.0,12493.92652797699,10.0,4250896.0,53113.51296850129,gist-960-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=200)",10,0.9501,0.9974999999999999,1.0,0.09455352372863757,30.47427821664926,34.01724994182587,34.01724994182587,34.01724994182587,34.01724994182587,0.0,12493.92652797699,10.0,4250896.0,139491.2775219586,gist-960-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=400)",10,0.9810000000000001,0.9994999999999999,1.0,0.09448598851234438,17.91253037425101,55.82684278488159,55.82684278488159,55.82684278488159,55.82684278488159,0.0,12493.92652797699,10.0,4250896.0,237314.09863291,gist-960-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=10)",10,0.5098,0.6823,1.0,0.09605900388301965,590.46212348802,1.9035696750506759,1.9035696750506759,1.9035696750506759,1.9035696750506759,0.0,7914.241018533707,10.0,7863656.0,13317.799207080803,gist-960-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=400)",10,0.9858,0.9999,1.0,0.09447063006126918,43.992426299304526,23.92127737402916,23.92127737402916,23.92127737402916,23.92127737402916,0.0,7914.241018533707,10.0,7863656.0,178750.22274287054,gist-960-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=800)",10,0.9951000000000001,1.0,1.0,0.09444927852184512,24.959414286303254,51.13563314080238,51.13563314080238,51.13563314080238,51.13563314080238,0.0,7914.241018533707,10.0,7863656.0,315057.7136866255,gist-960-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=10)",10,0.5955,0.782,1.0,0.09560177252870838,420.80369285161396,2.4095678236335516,2.4095678236335516,2.4095678236335516,2.4095678236335516,0.0,10953.571647644043,10.0,7862960.0,18685.577464199392,gist-960-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=80)",10,0.9281,0.9949999999999999,1.0,0.09458553927240632,105.7954635600252,9.936732240021229,9.936732240021229,9.936732240021229,9.936732240021229,0.0,10953.571647644043,10.0,7862960.0,74322.27938146696,gist-960-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=120)",10,0.958,0.9986,1.0,0.0945198385126784,85.56448033168516,11.68709248304367,11.68709248304367,11.68709248304367,11.68709248304367,0.0,10953.571647644043,10.0,7862960.0,91895.14117914051,gist-960-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=120)",10,0.9168,0.9938,1.0,0.09462752422401953,117.43927137153821,9.204473346471786,9.204473346471786,9.204473346471786,9.204473346471786,0.0,7914.241018533707,10.0,7863656.0,66959.33913896696,gist-960-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=20)",10,0.6495,0.8381000000000001,1.0,0.09539746857817064,438.8303434733712,2.9037618078291416,2.9037618078291416,2.9037618078291416,2.9037618078291416,0.0,7914.241018533707,10.0,7863656.0,17919.581261766547,gist-960-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=800)",10,0.9972,1.0,1.0,0.09444542056463283,18.831915702062833,53.10134217143059,53.10134217143059,53.10134217143059,53.10134217143059,0.0,10953.571647644043,10.0,7862960.0,417533.7296746022,gist-960-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=20)",10,0.7323999999999999,0.9122,1.0,0.09506717432804603,268.60050133845135,3.723001340404153,3.723001340404153,3.723001340404153,3.723001340404153,0.0,10953.571647644043,10.0,7862960.0,29273.809843311647,gist-960-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=80)",10,0.8774,0.9843,1.0,0.09471385571217852,162.50494569690844,7.271206006407738,7.271206006407738,7.271206006407738,7.271206006407738,0.0,7914.241018533707,10.0,7863656.0,48390.25647051185,gist-960-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=200)",10,0.9558,0.9987,1.0,0.09454183970481797,77.30752503428643,13.250569812953472,13.250569812953472,13.250569812953472,13.250569812953472,0.0,7914.241018533707,10.0,7863656.0,101719.15342668665,gist-960-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=40)",10,0.7761,0.9378,1.0,0.09498233168827745,259.01229848725814,3.9423946291208267,3.9423946291208267,3.9423946291208267,3.9423946291208267,0.0,7914.241018533707,10.0,7863656.0,30360.16454016698,gist-960-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=40)",10,0.8468,0.9738,1.0,0.09477672761170587,195.55764765210736,6.294694729149342,6.294694729149342,6.294694729149342,6.294694729149342,0.0,10953.571647644043,10.0,7862960.0,40207.88802894596,gist-960-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=200)",10,0.9794,0.9992000000000001,1.0,0.09447692232959266,54.43632949689669,18.79318431019783,18.79318431019783,18.79318431019783,18.79318431019783,0.0,10953.571647644043,10.0,7862960.0,144443.24355940003,gist-960-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=400)",10,0.9939,1.0,1.0,0.09445167561057571,32.919922613807536,37.450358271598816,37.450358271598816,37.450358271598816,37.450358271598816,0.0,10953.571647644043,10.0,7862960.0,238851.10825570577,gist-960-euclidean
